"Record.number","In-refID","IndividualID","Predator","Predator.common.name","Predator.taxon","Predator.lifestage","Type.of.feeding.interaction","Predator.mass","Prey","Prey.common.name","Prey.taxon","Prey.mass","Prey.mass.unit","Location"
31560,6245,16639,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",3.21E-002,"Oncaea sp.","copepod","ectotherm invertebrate",8.82E-007,"g","Antarctic Peninsula"
31561,6245,16639,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",3.21E-002,"Oncaea sp.","copepod","ectotherm invertebrate",1.24E-006,"g","Antarctic Peninsula"
31562,6246,16640,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",3.21E-002,"Oncaea sp.","copepod","ectotherm invertebrate",4.21E-007,"g","Antarctic Peninsula"
31563,6246,16640,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",3.21E-002,"Oncaea sp.","copepod","ectotherm invertebrate",5.05E-007,"g","Antarctic Peninsula"
31564,6246,16640,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",3.21E-002,"Oncaea sp.","copepod","ectotherm invertebrate",5.99E-007,"g","Antarctic Peninsula"
31565,6247,16641,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",5.42E-002,"Ctenocalanus sp.","copepod","ectotherm invertebrate",1.33E-006,"g","Antarctic Peninsula"
31566,6247,16641,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",5.42E-002,"Oncaea sp.","copepod","ectotherm invertebrate",9.48E-007,"g","Antarctic Peninsula"
31567,6247,16641,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",5.42E-002,"Oncaea sp.","copepod","ectotherm invertebrate",9.48E-007,"g","Antarctic Peninsula"
31568,6247,16641,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",5.42E-002,"Oncaea sp.","copepod","ectotherm invertebrate",1.09E-006,"g","Antarctic Peninsula"
31569,6247,16641,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",5.42E-002,"Oncaea sp.","copepod","ectotherm invertebrate",1.24E-006,"g","Antarctic Peninsula"
31570,6249,16642,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",3.84E-002,"Oncaea sp.","copepod","ectotherm invertebrate",8.20E-007,"g","Antarctic Peninsula"
31571,6250,16643,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",2.35E-002,"Oncaea sp.","copepod","ectotherm invertebrate",5.05E-007,"g","Antarctic Peninsula"
31572,6251,16644,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",5.09E-002,"Oncaea sp.","copepod","ectotherm invertebrate",3.83E-007,"g","Antarctic Peninsula"
31573,6251,16644,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",5.09E-002,"Oncaea sp.","copepod","ectotherm invertebrate",6.50E-007,"g","Antarctic Peninsula"
31574,6251,16644,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",5.09E-002,"Oncaea sp.","copepod","ectotherm invertebrate",7.60E-007,"g","Antarctic Peninsula"
31575,6254,16645,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",3.75E-002,"Oncaea sp.","copepod","ectotherm invertebrate",1.32E-006,"g","Antarctic Peninsula"
31576,6254,16645,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",3.75E-002,"Oncaea sp.","copepod","ectotherm invertebrate",1.32E-006,"g","Antarctic Peninsula"
31577,6254,16645,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",3.75E-002,"Oncaea sp.","copepod","ectotherm invertebrate",1.32E-006,"g","Antarctic Peninsula"
31578,6255,16646,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",3.97E-002,"Oncaea sp.","copepod","ectotherm invertebrate",3.83E-007,"g","Antarctic Peninsula"
31579,6255,16646,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",3.97E-002,"Oncaea sp.","copepod","ectotherm invertebrate",8.82E-007,"g","Antarctic Peninsula"
31580,6256,16647,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",3.26E-002,"Oithona sp.","copepod","ectotherm invertebrate",7.56E-007,"g","Antarctic Peninsula"
31581,6256,16647,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",3.26E-002,"Oncaea sp.","copepod","ectotherm invertebrate",7.04E-007,"g","Antarctic Peninsula"
31582,6256,16647,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",3.26E-002,"Oncaea sp.","copepod","ectotherm invertebrate",7.04E-007,"g","Antarctic Peninsula"
31583,6257,16648,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.98E-002,"Oncaea sp.","copepod","ectotherm invertebrate",1.32E-006,"g","Antarctic Peninsula"
31584,6258,16649,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",2.97E-002,"Oncaea sp.","copepod","ectotherm invertebrate",1.09E-006,"g","Antarctic Peninsula"
31585,6258,16649,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",2.97E-002,"Oncaea sp.","copepod","ectotherm invertebrate",1.41E-006,"g","Antarctic Peninsula"
31586,6260,16650,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",4.40E-002,"E. superba eggs","krill eggs","egg",3.31E-006,"g","Antarctic Peninsula"
31587,6265,16651,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",2.89E-002,"Oncaea sp.","copepod","ectotherm invertebrate",1.16E-006,"g","Antarctic Peninsula"
31588,6267,16652,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",5.01E-002,"E. superba eggs","krill eggs","egg",3.38E-006,"g","Antarctic Peninsula"
31589,6267,16652,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",5.01E-002,"E. superba eggs","krill eggs","egg",3.44E-006,"g","Antarctic Peninsula"
31590,6267,16652,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",5.01E-002,"E. superba eggs","krill eggs","egg",3.58E-006,"g","Antarctic Peninsula"
31591,6268,16653,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",2.87E-002,"E. superba eggs","krill eggs","egg",3.58E-006,"g","Antarctic Peninsula"
31592,6269,16654,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",5.85E-002,"E. superba eggs","krill eggs","egg",3.51E-006,"g","Antarctic Peninsula"
31593,6269,16654,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",5.85E-002,"Oncaea sp.","copepod","ectotherm invertebrate",5.05E-007,"g","Antarctic Peninsula"
31594,6269,16654,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",5.85E-002,"Oncaea sp.","copepod","ectotherm invertebrate",1.02E-006,"g","Antarctic Peninsula"
31595,6269,16654,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",5.85E-002,"Oncaea sp.","copepod","ectotherm invertebrate",1.32E-006,"g","Antarctic Peninsula"
31596,6270,16655,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",7.19E-002,"E. superba eggs","krill eggs","egg",3.51E-006,"g","Antarctic Peninsula"
31597,6270,16655,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",7.19E-002,"E. superba eggs","krill eggs","egg",3.51E-006,"g","Antarctic Peninsula"
31598,6270,16655,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",7.19E-002,"E. superba eggs","krill eggs","egg",3.58E-006,"g","Antarctic Peninsula"
31599,6270,16655,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",7.19E-002,"E. superba eggs","krill eggs","egg",3.58E-006,"g","Antarctic Peninsula"
31600,6270,16655,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",7.19E-002,"E. superba eggs","krill eggs","egg",3.58E-006,"g","Antarctic Peninsula"
31601,6271,16656,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",7.50E-002,"E. superba eggs","krill eggs","egg",3.44E-006,"g","Antarctic Peninsula"
31602,6271,16656,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",7.50E-002,"E. superba eggs","krill eggs","egg",3.58E-006,"g","Antarctic Peninsula"
31603,6272,16657,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",2.12E-001,"E. superba eggs","krill eggs","egg",3.31E-006,"g","Antarctic Peninsula"
31604,6272,16657,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",2.12E-001,"E. superba eggs","krill eggs","egg",3.38E-006,"g","Antarctic Peninsula"
31605,6272,16657,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",2.12E-001,"E. superba eggs","krill eggs","egg",3.44E-006,"g","Antarctic Peninsula"
31606,6272,16657,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",2.12E-001,"E. superba eggs","krill eggs","egg",3.44E-006,"g","Antarctic Peninsula"
31607,6272,16657,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",2.12E-001,"E. superba eggs","krill eggs","egg",3.44E-006,"g","Antarctic Peninsula"
31608,6272,16657,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",2.12E-001,"E. superba eggs","krill eggs","egg",3.44E-006,"g","Antarctic Peninsula"
31609,6272,16657,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",2.12E-001,"E. superba eggs","krill eggs","egg",3.44E-006,"g","Antarctic Peninsula"
31610,6272,16657,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",2.12E-001,"E. superba eggs","krill eggs","egg",3.44E-006,"g","Antarctic Peninsula"
31611,6272,16657,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",2.12E-001,"E. superba eggs","krill eggs","egg",3.44E-006,"g","Antarctic Peninsula"
31612,6272,16657,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",2.12E-001,"E. superba eggs","krill eggs","egg",3.51E-006,"g","Antarctic Peninsula"
31613,6272,16657,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",2.12E-001,"E. superba eggs","krill eggs","egg",3.58E-006,"g","Antarctic Peninsula"
31614,6272,16657,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",2.12E-001,"E. superba eggs","krill eggs","egg",3.58E-006,"g","Antarctic Peninsula"
31615,6272,16657,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",2.12E-001,"E. superba eggs","krill eggs","egg",3.58E-006,"g","Antarctic Peninsula"
31616,6272,16657,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",2.12E-001,"E. superba eggs","krill eggs","egg",3.58E-006,"g","Antarctic Peninsula"
31617,6273,16658,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.01E-001,"copepod","copepod","ectotherm invertebrate",6.54E-007,"g","Antarctic Peninsula"
31618,6273,16658,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.01E-001,"Oncaea sp.","copepod","ectotherm invertebrate",8.82E-007,"g","Antarctic Peninsula"
31619,6273,16658,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.01E-001,"Oncaea sp.","copepod","ectotherm invertebrate",1.79E-006,"g","Antarctic Peninsula"
31620,6273,16658,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.01E-001,"Oncaea sp.","copepod","ectotherm invertebrate",1.79E-006,"g","Antarctic Peninsula"
31621,6274,16659,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.14E-001,"Oncaea sp.","copepod","ectotherm invertebrate",9.48E-007,"g","Antarctic Peninsula"
31622,6275,16660,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",9.54E-002,"Ctenocalanus sp.","copepod","ectotherm invertebrate",1.57E-006,"g","Antarctic Peninsula"
31623,6276,16661,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",8.03E-002,"copepod","copepod","ectotherm invertebrate",1.51E-006,"g","Antarctic Peninsula"
31624,6276,16661,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",8.03E-002,"Oncaea sp.","copepod","ectotherm invertebrate",7.60E-007,"g","Antarctic Peninsula"
31625,6276,16661,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",8.03E-002,"Oncaea sp.","copepod","ectotherm invertebrate",1.16E-006,"g","Antarctic Peninsula"
31626,6277,16662,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",8.15E-002,"Oncaea sp.","copepod","ectotherm invertebrate",7.04E-007,"g","Antarctic Peninsula"
31627,6277,16662,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",8.15E-002,"Oncaea sp.","copepod","ectotherm invertebrate",1.16E-006,"g","Antarctic Peninsula"
31628,6277,16662,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",8.15E-002,"Oncaea sp.","copepod","ectotherm invertebrate",2.46E-006,"g","Antarctic Peninsula"
31629,6280,16663,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.19E-001,"copepod","copepod","ectotherm invertebrate",7.76E-007,"g","Antarctic Peninsula"
31630,6280,16663,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.19E-001,"Metridia gerlacei","copepod","ectotherm invertebrate",8.79E-006,"g","Antarctic Peninsula"
31631,6281,16664,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",9.18E-002,"Oncaea sp.","copepod","ectotherm invertebrate",9.48E-007,"g","Antarctic Peninsula"
31632,6281,16664,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",9.18E-002,"Oncaea sp.","copepod","ectotherm invertebrate",1.09E-006,"g","Antarctic Peninsula"
31633,6281,16664,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",9.18E-002,"Oncaea sp.","copepod","ectotherm invertebrate",1.24E-006,"g","Antarctic Peninsula"
31634,6282,16665,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.18E-001,"Oncaea sp.","copepod","ectotherm invertebrate",1.09E-006,"g","Antarctic Peninsula"
31635,6282,16665,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.18E-001,"Oncaea sp.","copepod","ectotherm invertebrate",1.09E-006,"g","Antarctic Peninsula"
31636,6282,16665,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.18E-001,"Oncaea sp.","copepod","ectotherm invertebrate",1.24E-006,"g","Antarctic Peninsula"
31637,6282,16665,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.18E-001,"Oncaea sp.","copepod","ectotherm invertebrate",1.32E-006,"g","Antarctic Peninsula"
31638,6283,16666,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",9.66E-002,"Oncaea sp.","copepod","ectotherm invertebrate",5.99E-007,"g","Antarctic Peninsula"
31639,6283,16666,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",9.66E-002,"Oncaea sp.","copepod","ectotherm invertebrate",1.24E-006,"g","Antarctic Peninsula"
31640,6283,16666,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",9.66E-002,"Oncaea sp.","copepod","ectotherm invertebrate",1.50E-006,"g","Antarctic Peninsula"
31641,6284,16667,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.11E-001,"Oncaea sp.","copepod","ectotherm invertebrate",5.05E-006,"g","Antarctic Peninsula"
31642,6285,16668,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.02E-001,"Metridia gerlacei","copepod","ectotherm invertebrate",1.13E-005,"g","Antarctic Peninsula"
31643,6285,16668,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.02E-001,"Oncaea sp.","copepod","ectotherm invertebrate",9.48E-007,"g","Antarctic Peninsula"
31644,6286,16669,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.03E-001,"copepod","copepod","ectotherm invertebrate",1.57E-006,"g","Antarctic Peninsula"
31645,6288,16670,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.22E-001,"Oncaea sp.","copepod","ectotherm invertebrate",1.09E-006,"g","Antarctic Peninsula"
31646,6288,16671,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.22E-001,"Oncaea sp.","copepod","ectotherm invertebrate",1.16E-006,"g","Antarctic Peninsula"
31647,6290,16672,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.04E-001,"Oncaea sp.","copepod","ectotherm invertebrate",2.00E-006,"g","Antarctic Peninsula"
31648,6290,16672,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.04E-001,"Oncaea sp.","copepod","ectotherm invertebrate",2.46E-006,"g","Antarctic Peninsula"
31649,6291,16673,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.04E-001,"Oncaea sp.","copepod","ectotherm invertebrate",1.02E-006,"g","Antarctic Peninsula"
31650,6292,16674,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",8.83E-002,"E. superba nauplius","krill nauplius","ectotherm invertebrate",3.60E-006,"g","Antarctic Peninsula"
31651,6292,16674,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",8.83E-002,"Oncaea sp.","copepod","ectotherm invertebrate",9.48E-007,"g","Antarctic Peninsula"
31652,6292,16674,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",8.83E-002,"Oncaea sp.","copepod","ectotherm invertebrate",1.16E-006,"g","Antarctic Peninsula"
31653,6293,16675,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",1.12E-001,"E. superba nauplius","krill nauplius","ectotherm invertebrate",4.24E-006,"g","Antarctic Peninsula"
31654,6293,16675,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.12E-001,"Metridia gerlacei","copepod","ectotherm invertebrate",1.64E-005,"g","Antarctic Peninsula"
31655,6296,16676,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.66E-001,"copepod","copepod","ectotherm invertebrate",1.90E-006,"g","Antarctic Peninsula"
31656,6296,16676,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",1.66E-001,"E. superba nauplius","krill nauplius","ectotherm invertebrate",4.14E-006,"g","Antarctic Peninsula"
31657,6296,16676,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.66E-001,"Oncaea sp.","copepod","ectotherm invertebrate",8.20E-007,"g","Antarctic Peninsula"
31658,6297,16677,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.11E-001,"Oncaea sp.","copepod","ectotherm invertebrate",3.47E-007,"g","Antarctic Peninsula"
31659,6297,16677,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.11E-001,"Oncaea sp.","copepod","ectotherm invertebrate",8.20E-007,"g","Antarctic Peninsula"
31660,6297,16677,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.11E-001,"Oncaea sp.","copepod","ectotherm invertebrate",8.20E-007,"g","Antarctic Peninsula"
31661,6297,16677,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.11E-001,"Oncaea sp.","copepod","ectotherm invertebrate",1.09E-006,"g","Antarctic Peninsula"
31662,6297,16677,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.11E-001,"Oncaea sp.","copepod","ectotherm invertebrate",1.09E-006,"g","Antarctic Peninsula"
31663,6297,16677,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.11E-001,"Oncaea sp.","copepod","ectotherm invertebrate",1.24E-006,"g","Antarctic Peninsula"
31664,6297,16677,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.11E-001,"Oncaea sp.","copepod","ectotherm invertebrate",1.32E-006,"g","Antarctic Peninsula"
31665,6297,16677,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.11E-001,"Oncaea sp.","copepod","ectotherm invertebrate",1.41E-006,"g","Antarctic Peninsula"
31666,6299,16678,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.14E-001,"Oncaea sp.","copepod","ectotherm invertebrate",4.21E-007,"g","Antarctic Peninsula"
31667,6299,16678,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.14E-001,"Oncaea sp.","copepod","ectotherm invertebrate",9.48E-007,"g","Antarctic Peninsula"
31668,6299,16678,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.14E-001,"Oncaea sp.","copepod","ectotherm invertebrate",1.09E-006,"g","Antarctic Peninsula"
31669,6299,16678,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.14E-001,"Oncaea sp.","copepod","ectotherm invertebrate",1.32E-006,"g","Antarctic Peninsula"
31670,6300,16679,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.06E-001,"copepod","copepod","ectotherm invertebrate",3.28E-007,"g","Antarctic Peninsula"
31671,6300,16679,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.06E-001,"Oncaea sp.","copepod","ectotherm invertebrate",8.82E-007,"g","Antarctic Peninsula"
31672,6301,16680,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",9.06E-002,"Oncaea sp.","copepod","ectotherm invertebrate",1.09E-006,"g","Antarctic Peninsula"
31673,6303,16681,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.73E-001,"Oncaea sp.","copepod","ectotherm invertebrate",6.50E-007,"g","Antarctic Peninsula"
31674,6303,16681,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.73E-001,"Oncaea sp.","copepod","ectotherm invertebrate",7.04E-007,"g","Antarctic Peninsula"
31675,6304,16682,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.44E-001,"Oncaea sp.","copepod","ectotherm invertebrate",8.20E-007,"g","Antarctic Peninsula"
31676,6304,16682,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.44E-001,"Oncaea sp.","copepod","ectotherm invertebrate",1.32E-006,"g","Antarctic Peninsula"
31677,6304,16682,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.44E-001,"Oncaea sp.","copepod","ectotherm invertebrate",2.46E-006,"g","Antarctic Peninsula"
31678,6304,16682,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.44E-001,"Oncaea sp.","copepod","ectotherm invertebrate",4.11E-006,"g","Antarctic Peninsula"
31679,6306,16683,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.27E-001,"Oncaea sp.","copepod","ectotherm invertebrate",2.11E-006,"g","Antarctic Peninsula"
31680,6307,16684,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.04E-001,"Oncaea sp.","copepod","ectotherm invertebrate",1.24E-006,"g","Antarctic Peninsula"
31681,6311,16685,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.22E-001,"Oncaea sp.","copepod","ectotherm invertebrate",7.04E-007,"g","Antarctic Peninsula"
31682,6314,16686,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.77E-001,"Oithona sp.","copepod","ectotherm invertebrate",4.62E-007,"g","Antarctic Peninsula"
31683,6314,16686,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.77E-001,"Oithona sp.","copepod","ectotherm invertebrate",7.86E-007,"g","Antarctic Peninsula"
31684,6314,16686,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.77E-001,"Oithona sp.","copepod","ectotherm invertebrate",8.82E-007,"g","Antarctic Peninsula"
31685,6314,16686,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.77E-001,"Oithona sp.","copepod","ectotherm invertebrate",9.83E-007,"g","Antarctic Peninsula"
31686,6314,16686,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.77E-001,"Oncaea sp.","copepod","ectotherm invertebrate",5.51E-007,"g","Antarctic Peninsula"
31687,6314,16686,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.77E-001,"Oncaea sp.","copepod","ectotherm invertebrate",1.24E-006,"g","Antarctic Peninsula"
31688,6315,16687,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.33E-001,"copepod","copepod","ectotherm invertebrate",2.68E-006,"g","Antarctic Peninsula"
31689,6315,16687,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.33E-001,"copepod","copepod","ectotherm invertebrate",6.15E-007,"g","Antarctic Peninsula"
31690,6315,16687,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.33E-001,"Metridia gerlacei","copepod","ectotherm invertebrate",3.52E-006,"g","Antarctic Peninsula"
31691,6315,16687,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",1.33E-001,"Oncaea sp.","copepod","ectotherm invertebrate",1.24E-006,"g","Antarctic Peninsula"
31692,6317,16688,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",9.79E-002,"Oncaea sp.","copepod","ectotherm invertebrate",2.26E-007,"g","Antarctic Peninsula"
31693,6317,16688,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","predacious",9.79E-002,"Oncaea sp.","copepod","ectotherm invertebrate",1.09E-006,"g","Antarctic Peninsula"
31694,6323,16689,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",1.24E-001,"calanoid egg","copepod egg","egg",6.45E-007,"g","Antarctic Peninsula"
31695,6323,16689,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",1.24E-001,"calanoid egg","copepod egg","egg",6.45E-007,"g","Antarctic Peninsula"
31696,6323,16689,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",1.24E-001,"calanoid egg","copepod egg","egg",6.45E-007,"g","Antarctic Peninsula"
31697,6323,16689,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",1.24E-001,"calanoid egg","copepod egg","egg",6.45E-007,"g","Antarctic Peninsula"
31698,6323,16689,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",1.24E-001,"calanoid egg","copepod egg","egg",7.13E-007,"g","Antarctic Peninsula"
31699,6323,16689,"Nototheniops larseni","Antarctic fish","ectotherm vertebrate","larva","planktivorous",1.24E-001,"calanoid egg","copepod egg","egg",7.13E-007,"g","Antarctic Peninsula"
